Gender,MentalDemand
male,15
male,16
male,16
male,12
male,16
male,17
male,16
male,17
male,16
male,12
male,6
male,18
male,16
male,17
male,20
male,15
male,11
male,18
male,9
male,16
male,9
female,14
female,11
female,17
female,15
female,17
female,17
female,21
female,19
female,13
female,17
female,14
female,10
